ID,SRR10033141,SRR10033144,SRR10159290,SRR10159293,SRR10159299,SRR10159308,SRR10604353,SRR10604354,SRR10604355,SRR10604356,SRR10604357,SRR10604358,SRR10604359,SRR10604360,SRR10604361,SRR10604362,SRR10604363,SRR10604364,SRR10604365,SRR10604366,SRR10604367,SRR10604368,SRR10604369,SRR10604370,SRR10604371,SRR10604372,SRR10604373,SRR10604374,SRR10604375,SRR10604376,SRR10604377,SRR10604378,SRR10604379,SRR10604380,SRR10604381,SRR10604382,SRR10604383,SRR10604384,SRR12001324,SRR12001325,SRR12001326,SRR12001327,SRR12001328,SRR12001329,SRR12001330,SRR12001331,SRR12001332,SRR12470634,SRR12470635,SRR12470659,SRR12572697,SRR12572699,SRR12572700,SRR12572707,SRR13011266,SRR13011276,SRR13011282,SRR13011285,SRR13011286,SRR13011289,SRR13011293,SRR13011298,SRR13011299,SRR13023223,SRR13023224,SRR13023225,SRR13023226,SRR13023227,SRR13023228,SRR13023229,SRR13023230,SRR13023232,SRR13023233,SRR13023234,SRR13023235,SRR13023237,SRR13240050,SRR13240051,SRR13240052,SRR13240053,SRR13240054,SRR13612594,SRR13612595,SRR13612596,SRR13612597,SRR13619036,SRR13619037,SRR13619038,SRR14088427,SRR14088428,SRR14088429,SRR14088440,SRR14479200,SRR14479205,SRR14479206,SRR14479207,SRR14479208,SRR14479209,SRR14479210,SRR14479211,SRR14479225,SRR14479226,SRR14479227,SRR14479228,SRR14479229,SRR14479230,SRR14479245,SRR14479246,SRR14479247,SRR14479248,SRR14479249,SRR14479250,SRR14479264,SRR14479265,SRR14479268,SRR14479269,SRR14907352,SRR14907353,SRR14907354,SRR14907355,SRR14907356,SRR17224856,SRR17224857,SRR17224858,SRR17224859,SRR17224860,SRR17224861,SRR17224862,SRR17224863,SRR17224864,SRR17224865,SRR17711211,SRR17711215,SRR17711237,SRR17711241,SRR19328989,SRR19328990,SRR19328991,SRR19328996,SRR19329007,SRR19329018,SRR19329029,SRR19329040,SRR19329041,SRR20110003,SRR20110004,SRR20110005,SRR20290374,SRR20290375,SRR20290376,SRR20290377,SRR20290388,SRR20290399,SRR20290410,SRR20290411,SRR21615878,SRR21615879,SRR21615882,SRR21615883,SRR22059209,SRR22059220,SRR22059231,SRR22059267,SRR22059276,SRR22059277,SRR22073311,SRR22073312,SRR22073313,SRR22106546,SRR22106553,SRR22106560,SRR22106561,SRR22106562,SRR22106563,SRR22463539,SRR22463540,SRR22463541,SRR22463542,SRR22463543,SRR22463544,SRR22463545,SRR22463546,SRR22463548,SRR22463549,SRR22463550,SRR22463551,SRR24090957,SRR24090958,SRR24090959,SRR24090966,SRR24090967,SRR24090968,SRR24112416,SRR24112417,SRR24112418,SRR24112419,SRR24112420,SRR24112421,SRR24112422,SRR24112423,SRR24112424,SRR24112425,SRR24112426,SRR24112427,SRR24112428,SRR24112429,SRR24112430,SRR24112431,SRR24112432,SRR24283330,SRR24283331,SRR24283334,SRR24283345,SRR24283356,SRR24283367,SRR24283378,SRR24283389,SRR24283398,SRR24283399,SRR24283400,SRR24283401,SRR25992317,SRR25992318,SRR25992319,SRR25992320,SRR25992321,SRR25992328,SRR25992329,SRR25992330,SRR25992331,SRR25992339,SRR25992350,SRR25992351,SRR25998238,SRR25998259,SRR25998270,SRR25998282,SRR25998315,SRR25998316,SRR26322612,SRR26322620,SRR26322621,SRR26322622,SRR26322623,SRR26322624,SRR26322625,SRR26322626,SRR26322627,SRR29038938,SRR29038939,SRR29038946,SRR29038947,SRR3337803,SRR3337804,SRR3337805,SRR3337806,SRR3337807,SRR3337808,SRR3337847,SRR5083096,SRR5083097,SRR5083102,SRR5801184,SRR5801185,SRR5801186,SRR6376636,SRR6376637,SRR6376639,SRR6376660,SRR6376661,SRR6510572,SRR6510574,SRR6510575,SRR8949212,SRR8949214,SRR8949215,SRR8949216,SRR8949217
ASV_1024,41,49,1,0,0,3,11,8,6,22,22,4,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,5,17,6,6,8,34,6,7,4,1,0,0,0,0,14,18,9,5,4,21,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,3,22,20,6,3,8,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,96,22,11,1,1,0,0,2,0,0,0,1,0,18,13,19,5,20,10,22,57,41,51,17,21,21,16,7,4,3,4,2,4,13,3,3,6,2,0,0,3,10,17,25,21,19,41,1,0,0,59,58,65,31,60,32,14,18,2,6,9,3,10,10,11,10,20,19,2,1,1,1,2,0,24,36,42,46,13,14,11,4,14,18,11,17,20,31,42,38,6,17,15,12,15,68,77,111,50,9,29,29,30,4,11,2,6,3,0,9,6,12,6,16,3,0,0,1,1,0,2,4,1,2,1,5,2,3,5,10,13,21,12,15,1,0,0,0,0,0,0,1,1,1,2,5,2,59,76,61,20,27,4,5,1,32,33,32,61,43
ASV_106,8,7,6,7,9,14,53,94,43,24,43,12,0,0,9,0,0,0,0,0,0,0,0,5,0,12,0,15,29,0,237,153,109,145,87,71,7,1,34,26,174,6,6,0,0,0,0,0,0,0,0,0,0,0,38,28,35,27,41,41,44,51,49,85,26,4,64,110,47,31,3,10,0,3,41,1,0,0,0,0,0,6,15,19,13,46,49,16,7,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,12,7,2,4,2,1,15,3,19,2,11,12,12,2,17,9,13,0,1,2,15,13,12,0,0,0,1,2,2,1,0,1,7,4,0,0,0,0,27,4,5,6,13,8,0,0,0,0,0,0,0,0,0,33,59,38,8,60,27,32,128,41,52,24,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,3,1,8,9,10,8,9,12,6,11,11,9,16,11,6,8,1,3,14,6,92,96,65,100,59,91,99,96,117,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,41,23,3,0,2,2,1,0,0,0,0,0
ASV_1080,14,36,64,26,16,29,38,34,55,59,60,61,6,3,122,6,0,4,1,12,0,4,0,30,8,79,5,14,12,1,44,51,45,44,37,44,81,56,45,46,60,22,22,11,20,41,24,2,0,7,1,0,2,0,84,52,114,78,56,79,42,79,37,52,14,149,115,35,90,66,33,27,114,185,204,5,5,7,3,1,23,0,0,0,0,86,49,117,0,0,0,0,2,0,1,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,40,62,3,36,13,22,25,44,31,34,0,17,23,41,18,37,51,35,42,49,54,28,23,43,43,55,27,43,3,2,1,18,24,30,15,22,26,29,30,0,0,0,0,24,47,22,39,0,0,4,4,0,13,27,36,23,19,20,27,27,25,31,18,33,22,22,31,37,32,33,2,4,2,6,7,11,28,19,18,7,28,15,15,39,24,34,23,20,30,22,20,32,18,39,35,11,31,52,40,39,44,68,17,11,83,2,8,4,6,3,7,1,3,0,1,7,5,20,4,0,8,0,7,18,27,33,22,19,50,19,12,21,6,7,8,10,0,0,0,0,0,0,1,36,38,49,1,0,0,18,34,22,41,28,2,1,3,68,31,62,54,48
ASV_111,1,0,28,32,28,28,0,2,2,5,2,3,0,0,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,4,3,7,10,1,0,0,0,0,0,26,9,13,1,0,2,2,0,2,0,14,8,10,9,6,21,2,6,6,9,0,3,2,0,31,15,1,2,12,2,2,0,151,35,152,53,57,0,0,3,0,8,4,8,0,0,0,0,0,1,0,1,13,6,4,0,19,2,4,0,8,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,1,1,7,7,23,64,19,155,24,37,11,29,0,0,0,0,0,11,6,2,2,0,0,0,0,31,14,40,34,15,64,34,38,105,8,17,5,30,89,10,13,25,6,0,0,1,0,0,1,42,26,17,21,29,42,38,88,42,36,40,26,16,18,12,40,37,34,17,21,23,13,13,13,1,69,20,5,3,7,2,3,9,8,5,6,6,8,8,2,3,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,19,26,17,31,0,0,1,0,0,0,0,7,2,9,5,1,3,4,4,0,2,11,1,0,1,22,53,23,26,23
ASV_1112,6,21,53,14,18,14,7,5,6,9,4,9,2,0,17,2,1,5,0,2,1,3,1,7,1,22,14,3,12,4,2,3,0,2,3,6,25,10,11,22,12,19,15,6,15,26,15,1,0,2,4,1,6,2,18,12,17,12,10,22,11,16,6,8,19,14,11,4,11,13,5,10,10,6,15,1,10,8,11,8,12,12,11,7,11,24,8,10,21,13,18,34,0,0,1,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,17,2,6,5,14,33,18,27,18,16,14,22,10,22,21,27,19,26,14,12,8,16,12,23,7,3,10,6,9,1,4,3,4,2,5,0,3,4,4,11,8,4,7,9,12,10,5,6,0,0,0,13,15,27,7,46,32,4,10,2,4,4,5,4,2,2,2,5,5,3,3,2,0,2,5,29,33,13,18,19,18,26,31,20,48,18,26,29,32,24,33,15,17,21,14,18,23,33,34,19,23,9,9,22,35,14,22,22,22,31,17,26,21,47,12,26,44,10,4,16,13,15,11,11,6,3,3,13,5,12,5,23,13,35,16,0,0,0,0,0,0,0,2,2,3,6,1,2,17,34,14,16,24,5,5,4,28,23,18,27,25
ASV_1129,7,12,66,61,79,73,9,3,7,6,9,25,1,0,18,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,1,0,0,4,1,1,36,12,7,8,1,8,1,0,1,0,0,0,0,0,0,0,0,55,75,48,44,62,63,72,68,63,16,0,47,30,22,23,12,0,12,0,5,6,1,0,0,0,0,0,0,0,0,0,67,112,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,5,29,32,196,71,137,31,14,25,179,65,178,45,16,13,15,14,7,32,2,9,12,19,22,36,22,0,0,0,40,53,53,98,21,67,51,61,0,0,0,0,13,70,73,38,32,1,3,0,0,0,5,4,0,0,0,17,7,57,11,21,5,15,68,9,41,15,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,6,9,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,32,83,72,72,42,46,73,27,25,18,25,33,32,0,0,0,0,0,0,0,135,176,109,0,0,0,89,37,25,122,115,0,0,0,6,6,1,5,2
ASV_1172,22,29,17,14,14,16,9,10,11,21,6,0,7,6,4,9,22,15,14,13,2,9,12,14,17,5,9,18,22,16,8,3,2,5,1,5,11,4,9,12,9,15,27,29,6,7,17,6,3,9,11,12,11,12,7,6,12,4,8,12,10,13,13,5,16,2,17,11,2,5,35,9,1,5,1,8,12,7,20,6,6,4,5,7,3,6,6,4,21,28,17,9,15,15,27,28,46,14,56,1,43,51,28,42,36,118,0,72,2,2,0,1,7,0,0,1,19,40,4,67,23,40,26,44,32,21,20,34,21,37,41,18,24,29,20,17,8,15,7,9,19,10,15,10,35,30,30,11,49,15,19,29,25,25,43,1,1,4,1,7,16,19,19,5,6,0,0,0,12,2,6,3,6,11,12,15,10,25,14,10,24,7,13,13,18,20,10,6,2,7,15,19,8,20,22,21,16,6,10,6,20,14,18,11,22,19,7,4,19,10,18,29,19,2,7,4,7,10,11,9,9,25,37,36,19,35,18,36,36,18,23,35,37,49,34,51,38,24,51,26,29,37,33,37,36,37,58,29,17,18,20,20,5,23,8,23,4,3,9,14,6,10,5,3,5,15,17,36,22,20,11,38,13,2,11,3,14,8
ASV_119,33,32,11,16,14,15,13,32,22,30,31,24,22,45,11,38,10,25,20,8,30,1,5,0,5,1,0,4,0,0,8,9,6,12,13,16,8,2,31,34,18,8,1,4,3,1,2,4,4,12,3,2,3,2,4,2,1,1,0,9,2,1,2,21,3,4,9,7,31,29,31,35,83,14,10,11,18,18,40,38,13,1,0,0,0,3,2,9,0,0,0,0,29,20,4,25,34,40,14,0,29,8,15,0,29,6,15,11,25,12,43,2,18,17,19,2,23,40,5,50,13,22,7,10,26,4,16,12,5,5,35,7,7,4,4,12,4,12,6,9,4,18,9,16,11,10,1,6,3,8,2,23,11,9,8,18,11,18,15,18,9,11,33,38,29,5,18,24,2,2,2,0,5,2,49,39,45,35,20,28,27,28,36,39,45,43,2,3,1,10,8,23,6,3,4,3,10,16,3,15,2,0,0,1,4,5,5,6,17,5,1,2,7,43,34,52,104,4,4,82,87,2,3,8,5,3,2,7,3,1,2,4,4,5,4,0,1,7,0,29,51,49,21,9,31,34,34,26,67,49,49,52,0,1,0,0,0,0,0,14,13,10,4,4,5,4,7,10,3,1,1,0,8,2,0,0,3,1
ASV_1190,0,1,3,2,1,2,6,45,28,25,9,56,0,0,12,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,5,8,5,4,5,11,20,67,0,0,1,0,0,0,34,40,23,3,0,2,3,0,3,0,0,1,0,0,0,4,0,0,0,0,0,5,2,0,29,16,0,0,6,2,5,0,17,5,17,10,79,0,0,1,0,2,0,1,0,0,0,0,2,6,1,0,4,0,4,3,2,1,6,4,6,3,0,13,0,0,0,0,6,4,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2,10,14,15,1,2,4,2,0,1,0,0,1,1,4,4,1,3,0,0,0,0,0,0,1,3,1,0,0,0,0,73,67,108,57,125,78,22,3,8,12,2,22,1,3,8,5,12,12,2,7,3,1,0,0,101,66,76,40,77,59,62,77,103,97,108,83,151,66,114,44,52,84,130,66,120,87,78,82,83,65,28,27,98,0,1,2,0,0,0,0,3,1,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28,24,47,14,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,2,122,83,207,50,134
ASV_13,7,32,30,30,27,68,2,3,2,1,2,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,2,9,119,5,15,17,9,13,0,4,2,3,0,1,1,0,0,0,0,92,41,26,35,27,64,82,34,52,0,0,0,8,2,2,4,26,4,1,3,1,0,1,1,0,0,1,90,76,62,96,48,25,61,27,46,33,46,0,0,0,1,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,1,2,17,12,6,15,2,15,14,13,5,0,2,2,0,5,6,3,0,4,0,0,0,110,125,142,154,25,71,34,40,0,0,0,0,4,2,3,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,1,2,1,0,1,2,4,1,2,0,0,0,0,0,0,3,2,0,0,1,0,2,1,3,0,1,2,1,0,2,3,0,0,5,2,0,4,9,3,2,7,1,0,1,76,36,35,35,74,48,66,29,99,75,32,49,18,2,0,0,0,5,13,1,1,2,0,9,0,2,4,17,19,14,12,2,0,1,67,4,1,0,2,2,3,6,0,1,63,76,22,36,74,8,4,5,3,2,6,0,3
