ACE,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND
132,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
138.5,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
140,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
138,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
138.6666667,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
139.375,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
136.2307692,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
132.5,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
137.5454545,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
132,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
140.6,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
134.5,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
77.5,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
68.5,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
137.1428571,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
81,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
80,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
99.5,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
72.5,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
90,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
72,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
86.85714286,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
98,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
90.58333333,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
97.5,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
148,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
86.14285714,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
94.14285714,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
105,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
83,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
133.5625,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
126.3333333,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
133.1538462,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
