bnti,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND,
6.034257941,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851,D
6.541553062,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851,D
6.57796369,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851,D
6.564321373,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851,D
6.647145313,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851,D
6.627722225,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281,D
6.002279949,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281,D
6.31246384,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281,D
6.517241543,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281,D
6.48698616,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
6.293977957,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
6.202800105,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
5.505372372,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
4.982683261,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
6.48348591,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
5.040207727,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
4.587334378,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
4.544746955,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
4.940263449,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
4.976804254,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
4.589114235,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.216124567,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
4.136074913,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.340638166,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.183847082,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
6.435648701,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
4.631352822,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.163313893,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.481770217,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705,D
4.510789017,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.74314766,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
5.844225316,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678,D
