#
#record	SRR10033141	SRR10033144	SRR10159290	SRR10159293	SRR10159299	SRR10159308	SRR10604353	SRR10604354	SRR10604355	SRR10604356	SRR10604357	SRR10604358	SRR10604359	SRR10604360	SRR10604361	SRR10604362	SRR10604363	SRR10604364	SRR10604365	SRR10604366	SRR10604367	SRR10604368	SRR10604369	SRR10604370	SRR10604371	SRR10604372	SRR10604373	SRR10604374	SRR10604375	SRR10604376	SRR10604377	SRR10604378	SRR10604379	SRR10604380	SRR10604381	SRR10604382	SRR10604383	SRR10604384	SRR12001324	SRR12001325	SRR12001326	SRR12001327	SRR12001328	SRR12001329	SRR12001330	SRR12001331	SRR12001332	SRR12470634	SRR12470635	SRR12470659	SRR12572697	SRR12572699	SRR12572700	SRR12572707	SRR13011266	SRR13011276	SRR13011282	SRR13011285	SRR13011286	SRR13011289	SRR13011293	SRR13011298	SRR13011299	SRR13023223	SRR13023224	SRR13023225	SRR13023226	SRR13023227	SRR13023228	SRR13023229	SRR13023230	SRR13023232	SRR13023233	SRR13023234	SRR13023235	SRR13023237	SRR13240050	SRR13240051	SRR13240052	SRR13240053	SRR13240054	SRR13612594	SRR13612595	SRR13612596	SRR13612597	SRR13619036	SRR13619037	SRR13619038	SRR14088427	SRR14088428	SRR14088429	SRR14088440	SRR14479200	SRR14479205	SRR14479206	SRR14479207	SRR14479208	SRR14479209	SRR14479210	SRR14479211	SRR14479225	SRR14479226	SRR14479227	SRR14479228	SRR14479229	SRR14479230	SRR14479245	SRR14479246	SRR14479247	SRR14479248	SRR14479249	SRR14479250	SRR14479264	SRR14479265	SRR14479268	SRR14479269	SRR14907352	SRR14907353	SRR14907354	SRR14907355	SRR14907356	SRR17224856	SRR17224857	SRR17224858	SRR17224859	SRR17224860	SRR17224861	SRR17224862	SRR17224863	SRR17224864	SRR17224865	SRR17711211	SRR17711215	SRR17711237	SRR17711241	SRR19328989	SRR19328990	SRR19328991	SRR19328996	SRR19329007	SRR19329018	SRR19329029	SRR19329040	SRR19329041	SRR20110003	SRR20110004	SRR20110005	SRR20290374	SRR20290375	SRR20290376	SRR20290377	SRR20290388	SRR20290399	SRR20290410	SRR20290411	SRR21615878	SRR21615879	SRR21615882	SRR21615883	SRR22059209	SRR22059220	SRR22059231	SRR22059267	SRR22059276	SRR22059277	SRR22073311	SRR22073312	SRR22073313	SRR22106546	SRR22106553	SRR22106560	SRR22106561	SRR22106562	SRR22106563	SRR22463539	SRR22463540	SRR22463541	SRR22463542	SRR22463543	SRR22463544	SRR22463545	SRR22463546	SRR22463548	SRR22463549	SRR22463550	SRR22463551	SRR24090957	SRR24090958	SRR24090959	SRR24090966	SRR24090967	SRR24090968	SRR24112416	SRR24112417	SRR24112418	SRR24112419	SRR24112420	SRR24112421	SRR24112422	SRR24112423	SRR24112424	SRR24112425	SRR24112426	SRR24112427	SRR24112428	SRR24112429	SRR24112430	SRR24112431	SRR24112432	SRR24283330	SRR24283331	SRR24283334	SRR24283345	SRR24283356	SRR24283367	SRR24283378	SRR24283389	SRR24283398	SRR24283399	SRR24283400	SRR24283401	SRR25992317	SRR25992318	SRR25992319	SRR25992320	SRR25992321	SRR25992328	SRR25992329	SRR25992330	SRR25992331	SRR25992339	SRR25992350	SRR25992351	SRR25998238	SRR25998259	SRR25998270	SRR25998282	SRR25998315	SRR25998316	SRR26322612	SRR26322620	SRR26322621	SRR26322622	SRR26322623	SRR26322624	SRR26322625	SRR26322626	SRR26322627	SRR29038938	SRR29038939	SRR29038946	SRR29038947	SRR3337803	SRR3337804	SRR3337805	SRR3337806	SRR3337807	SRR3337808	SRR3337847	SRR5083096	SRR5083097	SRR5083102	SRR5801184	SRR5801185	SRR5801186	SRR6376636	SRR6376637	SRR6376639	SRR6376660	SRR6376661	SRR6510572	SRR6510574	SRR6510575	SRR8949212	SRR8949214	SRR8949215	SRR8949216	SRR8949217
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus	41	49	1	0	0	3	11	8	6	22	22	4	0	0	3	1	0	0	0	0	0	0	0	0	0	5	0	0	1	1	5	17	6	6	8	34	6	7	4	1	0	0	0	0	14	18	9	5	4	21	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	3	22	20	6	3	8	2	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	96	22	11	1	1	0	0	2	0	0	0	1	0	18	13	19	5	20	10	22	57	41	51	17	21	21	16	7	4	3	4	2	4	13	3	3	6	2	0	0	3	10	17	25	21	19	41	1	0	0	59	58	65	31	60	32	14	18	2	6	9	3	10	10	11	10	20	19	2	1	1	1	2	0	24	36	42	46	13	14	11	4	14	18	11	17	20	31	42	38	6	17	15	12	15	68	77	111	50	9	29	29	30	4	11	2	6	3	0	9	6	12	6	16	3	0	0	1	1	0	2	4	1	2	1	5	2	3	5	10	13	21	12	15	1	0	0	0	0	0	0	1	1	1	2	5	2	59	76	61	20	27	4	5	1	32	33	32	61	43
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter	14	15	11	14	12	6	0	0	1	0	1	0	19	2	0	3	4	7	0	5	5	22	12	19	13	3	55	29	32	32	0	0	0	0	0	0	3	3	45	33	21	44	57	57	0	0	0	0	0	0	0	0	0	0	48	27	78	73	96	35	96	60	69	0	83	3	0	3	8	0	19	22	2	4	6	169	0	0	0	0	0	0	0	1	0	38	58	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	29	23	29	31	20	11	16	12	6	25	30	19	10	78	73	97	78	32	19	12	28	18	19	32	31	26	0	0	0	4	3	12	6	4	0	1	0	0	0	0	0	18	89	101	87	18	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0	2	28	18	24	33	24	18	23	29	44	29	49	42	94	141	10	56	28	79	224	146	107	146	158	170	73	143	111	5	6	2	2	0	0	0	0	0	0	0	2	4	6	2	0	0	6	3	9	28	28	0	0	0	1	0	1	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum	8	7	6	7	9	14	53	94	43	24	43	12	0	0	9	0	0	0	0	0	0	0	0	5	0	12	0	15	29	0	237	153	109	145	87	71	7	1	34	26	174	6	6	0	0	0	0	0	0	0	0	0	0	0	38	28	35	27	41	41	44	51	49	85	26	4	64	110	47	31	3	10	0	3	41	1	0	0	0	0	0	6	15	19	13	46	49	16	7	5	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	5	0	12	7	2	4	2	1	15	3	19	2	11	12	12	2	17	9	13	0	1	2	15	13	12	0	0	0	1	2	2	1	0	1	7	4	0	0	0	0	27	4	5	6	13	8	0	0	0	0	0	0	0	0	0	33	59	38	8	60	27	32	128	41	52	24	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	3	1	8	9	10	8	9	12	6	11	11	9	16	11	6	8	1	3	14	6	92	96	65	100	59	91	99	96	117	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	41	23	3	0	2	2	1	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter	7	8	4	1	2	3	0	0	0	0	1	0	3	1	1	1	0	4	1	1	1	13	4	4	9	1	24	16	12	13	0	0	0	0	0	0	0	0	12	11	10	22	26	30	0	0	0	1	0	1	0	0	0	0	18	14	30	23	37	10	51	22	18	0	61	1	1	2	3	1	14	7	0	4	6	154	0	0	0	0	0	0	0	0	0	19	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	27	12	22	18	21	6	4	9	3	22	8	11	2	38	57	54	38	26	14	20	23	15	10	21	16	15	0	1	0	8	4	1	3	1	0	3	0	0	0	0	0	1	46	51	33	10	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	32	57	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	20	14	13	21	25	10	4	23	20	23	13	23	52	50	12	23	15	27	125	87	60	82	97	108	37	83	58	5	2	3	1	3	2	1	36	12	3	0	11	9	6	42	3	11	1	0	3	13	23	9	27	28	0	0	0	0	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia	18	15	16	8	8	10	3	8	14	6	6	0	0	0	12	0	0	0	0	0	0	0	1	1	1	26	2	1	5	3	2	1	1	2	5	1	25	30	4	0	0	1	0	0	2	14	12	1	1	8	0	1	1	1	1	5	1	5	4	1	0	0	1	20	0	2	1	2	3	1	3	6	0	1	0	1	0	136	17	7	52	0	0	1	0	1	2	1	0	0	1	0	0	12	91	0	15	16	67	4	0	0	0	18	0	13	0	16	0	4	0	4	0	0	0	1	31	31	91	71	50	7	6	13	2	25	19	11	2	8	6	26	11	11	34	8	27	13	60	44	61	5	21	5	12	23	9	7	12	9	9	13	8	4	4	12	16	6	9	1	6	12	2	16	28	1	0	0	14	16	2	0	27	2	58	25	23	58	17	34	16	11	21	15	59	69	3	1	2	3	5	4	12	22	19	40	23	25	20	11	17	44	42	29	22	62	17	12	5	17	26	42	29	37	17	19	39	11	28	115	26	34	21	21	23	13	6	19	14	12	23	37	27	39	29	33	41	86	17	12	18	14	18	26	12	23	15	15	103	90	49	163	0	0	0	0	0	0	0	4	5	8	4	2	3	14	6	10	14	16	2	1	2	27	55	35	29	25
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	28	18	11	23	18	11	35	55	44	29	56	26	8	3	21	28	0	0	0	31	3	20	0	16	7	18	16	15	23	7	11	24	19	29	39	37	19	22	21	17	17	31	48	16	2	3	0	0	0	0	0	0	0	0	22	24	25	27	35	16	26	7	22	13	21	6	28	15	2	22	16	22	7	16	14	69	0	0	0	0	0	0	0	0	0	6	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	18	3	2	155	73	124	163	63	17	140	89	128	174	18	23	21	20	42	34	35	31	19	33	45	35	46	0	0	0	2	0	1	1	2	2	2	3	0	0	0	0	43	34	7	54	8	0	3	0	0	9	30	14	6	34	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	20	22	30	19	25	15	15	9	22	18	22	21	27	31	25	19	46	22	19	34	53	43	38	22	28	38	19	9	0	0	0	0	0	0	0	0	0	0	0	0	31	29	29	60	70	26	34	39	32	32	71	23	56	57	38	20	21	15	19	0	0	0	0	0	0	0	1	1	0	0	0	0	25	21	11	9	11	0	0	0	23	25	25	24	38
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus	41	31	0	1	0	0	18	19	18	29	30	21	0	0	28	0	0	0	0	0	0	0	0	2	5	29	0	1	1	0	11	21	9	20	10	20	40	28	13	12	4	2	2	3	2	8	3	5	3	6	0	0	0	0	0	0	1	0	1	0	0	0	0	3	2	6	30	30	32	41	4	20	33	10	4	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	59	192	116	119	12	16	5	12	4	9	12	11	9	8	38	31	47	61	65	48	46	64	58	63	75	61	59	17	8	3	0	0	0	2	2	0	0	0	15	33	25	55	14	30	15	19	22	57	0	0	0	3	4	0	0	0	0	10	8	5	11	7	10	7	10	13	14	13	5	1	0	0	1	4	0	12	7	15	12	13	9	14	3	7	10	11	18	16	14	11	8	14	21	15	17	13	28	36	30	25	26	42	21	23	12	18	21	13	14	11	9	16	12	31	34	27	0	1	0	0	0	2	19	15	5	20	15	23	13	60	30	32	27	19	22	0	0	1	1	0	0	0	0	0	0	7	6	4	4	3	6	44	39	3	2	1	36	19	16	27	22
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	64	38	34	33	21	15	14	30	30	47	23	21	22	10	24	36	9	50	36	29	13	12	23	23	34	59	13	27	28	46	14	13	11	18	19	16	48	46	9	14	8	7	4	28	6	20	13	0	0	0	0	0	0	0	2	6	1	6	6	2	4	1	1	7	6	23	10	20	17	30	13	16	4	21	6	33	0	3	14	0	3	0	0	0	0	2	3	1	0	0	0	0	0	3	4	0	1	2	1	3	1	0	1	5	0	4	1	6	0	0	1	2	2	1	1	5	28	18	18	17	9	16	6	43	21	35	13	11	5	29	17	9	5	14	14	25	29	45	55	48	49	43	26	42	0	0	0	5	6	2	4	6	4	9	7	90	101	115	104	20	14	12	27	26	30	0	0	0	41	41	17	18	48	8	22	25	6	12	5	6	4	17	11	18	11	24	0	0	0	0	0	0	40	43	58	46	51	50	39	20	23	23	22	27	37	40	50	56	35	49	49	37	51	74	88	47	72	12	42	158	86	2	4	5	1	0	2	0	0	2	0	3	0	13	9	5	9	2	10	14	37	35	52	29	30	41	50	49	31	30	20	19	0	0	0	0	0	0	0	4	2	11	5	10	1	12	5	21	21	11	0	0	0	66	44	76	50	87
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia	3	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	1	9	6	4	3	1	3	2	6	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	1	8	9	11	35	0	0	0	1	0	0	0	0	1	0	0	0	20	95	4	24	8	74	6	1	0	0	20	0	15	0	27	1	4	0	5	1	0	1	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	3	0	0	5	2	0	0	0	5	7	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	2	2	0	0	0	4	2	1	0	13	1	130	95	58	99	64	219	30	50	45	33	97	83	5	6	3	1	1	4	22	22	19	43	35	34	29	12	23	46	48	32	38	104	17	25	17	40	24	68	55	19	11	5	62	24	69	125	37	0	3	8	1	2	2	1	0	1	1	5	4	0	2	2	2	1	2	1	0	2	0	0	0	1	0	1	19	20	7	30	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	8	29	15	12	16
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga	44	62	73	46	66	67	4	4	11	14	4	7	6	1	13	2	1	15	0	5	1	6	13	3	17	23	11	15	9	9	3	2	0	2	2	3	31	38	37	32	13	35	23	26	0	2	4	3	0	4	1	0	2	0	3	4	4	5	0	0	1	6	4	3	13	42	13	17	27	7	82	54	0	1	16	8	0	0	1	0	0	0	0	0	0	5	3	2	0	0	1	0	0	4	13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	49	22	69	19	8	8	14	4	58	13	8	6	19	7	70	98	59	61	186	170	221	279	224	220	242	191	201	1	2	0	13	30	8	11	4	11	0	5	85	59	69	51	16	155	226	87	216	286	0	0	0	1	1	0	0	2	0	37	21	36	40	14	19	10	6	16	12	34	52	1	1	2	7	13	11	4	2	6	7	16	1	2	5	6	5	7	4	7	17	4	3	6	27	21	17	19	22	21	23	81	41	38	175	67	7	4	20	8	5	20	6	9	5	10	1	20	95	147	30	70	21	76	122	153	112	121	98	118	116	69	63	35	42	42	36	0	0	0	0	0	0	0	17	6	14	1	4	4	5	3	22	49	23	14	15	17	12	14	20	9	10
