site_code,temperature,precipitation,biome
1,3.436249244,224.4452479,Grassland
2,2.34307178,410.2820248,Grassland
3,-0.471214351,430.7606818,Grassland
4,6.253857446,203.1431818,Grassland
5,7.760365202,347.6586777,Grassland
6,6.336709328,198.7045455,Grassland
7,3.712403432,467.3452854,Grassland
8,-0.491632112,437.3023089,Grassland
9,16.3630523,1129.40563,Grassland
10,3.435219855,224.4293518,Grassland
11,5.547858535,113.5162429,Grassland
12,4.265032473,129.1241648,Grassland
13,-0.248659706,216.7364488,Grassland
14,-1.885187308,242.091224,Grassland
15,-3.959127061,283.9173149,Grassland
16,-1.487557317,253.7194112,Grassland
17,-3.159453797,295.6484932,Grassland
18,-3.025579684,389.8788749,Grassland
19,-2.913184167,396.7051839,Grassland
20,-2.621774364,397.5643558,Grassland
21,-2.227401241,412.1459983,Grassland
22,-0.726556827,396.4655784,Grassland
23,-1.555917954,416.2629359,Grassland
24,0.75331672,715.6773244,Grassland
25,-1.460878922,791.34375,Grassland
26,7.773604163,308.476343,Grassland
27,10.55366163,816.3787603,Grassland
28,3.435046499,224.4328228,Grassland
29,0.187639076,431.4391787,Grassland
30,1.394502107,406.8842975,Grassland
31,1.803910218,272.2386364,Grassland
32,3.392930734,29.65988636,Grassland
33,1.832469163,277.6745351,Grassland
34,4.301645416,460.1659091,Grassland
35,1.861327602,669.053719,Grassland
36,-0.124289292,576.9638107,Grassland
37,-1.548934782,543.2949819,Grassland
38,-0.383692995,560.5509749,Grassland
39,-0.598347799,467.1518079,Grassland
40,3.007545194,284.7056818,Grassland
41,3.435162221,224.4305114,Grassland
42,8.397208731,324.6274212,Grassland
43,1.140900892,317.6942149,Grassland
44,6.972436628,401.6127841,Grassland
45,2.54815536,274.380093,Grassland
46,6.706019153,425.1807076,Grassland
47,6.328305301,433.825,Grassland
