Sample,Ph,SOC,N,LAT,Altitude,NDVI,AI,K
A1,0,0,0,0,0,0,0,0.002773641
A2,0,0,0,0,0,0,0,0.026264977
A3,0,0,0,0,0,0,0,0.022976812
A4,0,0,0,0,0,0,0,0.039368597
A5,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.019727139
A6,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.074150753
A7,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.081910153
A8,0.071177686,3.5209996,1.048000014,0.227,73,0.096456528,0.175748879,0.035527686
A9,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.038390937
A10,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.066034947
A11,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.036138705
A12,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.094068308
A13,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.160822561
A14,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.032240448
A15,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.168309059
A16,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.251812762
A17,0.252380682,23.22608764,1.299000037,4.4891,1944,0.153082609,0.229835767,0.119828674
A18,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.193145869
A19,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.106835743
A20,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.207302631
A21,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.130564608
A22,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.122120825
A23,0.086549586,6.187000225,0.517799977,2.5966,427,0.111134775,0.029313878,0.10506779
